"id","city_id","country_code","country_id","country_name_en","country_name_ru","name_en","name_ru","parent_id","pretty_slug","type","slug"
6 144 648,6 144 648,R,153,Russia,Россия,Petrovo-Dalneye,Петрово-Дальнее,965 821 051,petrovo-dalneye,City,petrovo-dalneye
6 154 999,6 154 999,R,153,Russia,Россия,Simeiz,Симеиз,6 084 933,simeiz,City,simeiz
6 155 913,6 155 913,R,153,Russia,Россия,Sheremet'evskiy,Шереметьевский,965 821 051,sheremetevskiy,City,sheremet'evskiy
6 156 241,6 156 241,R,153,Russia,Россия,Yessentuki,Ессентуки,6 288 530,yessentuki,City,yessentuki
6 157 054,6 157 054,R,153,Russia,Россия,Istra,Истра,6 288 454,istra,City,istra
6 157 876,6 157 876,R,153,Russia,Россия,Popovka,Поповка,6 057 828,popovka,City,popovka
6 179 083,6 179 083,R,153,Russia,Россия,Borovichi,Боровичи,6 288 557,borovichi,City,borovichi
6 198 909,6 198 909,R,153,Russia,Россия,Yantarny,Янтарный,6 057 744,yantarny,City,yantarny
6 198 991,6 198 991,R,153,Russia,Россия,Derbent,Дербент,6 288 324,derbent,City,derbent
6 201 349,6 201 349,R,153,Russia,Россия,Zhupanovo,Жупаново,6 288 352,zhupanovo,City,zhupanovo
6 204 640,6 204 640,R,153,Russia,Россия,Pereslavl-Zalesskiy,Переславль-Залесский,6 288 591,pereslavl-zalesskiy_golden_ring,City,golden_ring_pereslavl-zalesskiy
6 205 350,6 205 350,R,153,Russia,Россия,Kalyazin,Калязин,6 288 557,kalyazin,City,kalyazin
6 205 358,6 205 358,R,153,Russia,Россия,Borisoglebskiy,Борисоглебский,6 288 591,borisoglebskiy,City,borisoglebskiy
6 206 004,6 206 004,R,153,Russia,Россия,Solovetsky,Соловецкий,6 288 355,solovetsky,City,solovetsky
6 206 831,6 206 831,R,153,Russia,Россия,Kizhi,Кижи,6 288 355,kizhi,City,kizhi
6 215 077,6 215 077,R,153,Russia,Россия,Tuapse,Туапсе,6 084 686,tuapse_sochi_and_viciity,City,krasnodar_krai_tuapse
6 223 577,6 223 577,R,153,Russia,Россия,Povedniki,Поведники,178 289,povedniki,City,povedniki
6 230 499,6 230 499,R,153,Russia,Россия,Verbilki,Вербилки,6 288 454,verbilkii,City,verbilkii
6 267 969,6 267 969,R,153,Russia,Россия,Opalikha,Опалиха,178 289,opalikha,City,opalikha
6 285 154,6 285 154,R,153,Russia,Россия,Golovinka,Головинка,6 084 686,golovinka,City,golovinka
6 288 353,6 288 353,R,153,Russia,Россия,Cherkessk,Черкесск,6 288 354,cherkessk,City,cherkessk
6 289 548,6 289 548,R,153,Russia,Россия,Uhlove,Углове,6 057 828,uhlove,City,uhlove
6 293 347,6 293 347,R,153,Russia,Россия,Estosadok,Эстосадок,6 084 686,estosadok,City,estosadok
6 293 352,6 293 352,R,153,Russia,Россия,Yakornaya Shchel',Якорная щель,6 084 686,yakornaya_shchel,City,yakornaya_shchel'
6 293 353,6 293 353,R,153,Russia,Россия,Soloniki,Солоники,6 084 686,soloniki,City,soloniki
6 294 029,6 294 029,R,153,Russia,Россия,Nizhnee Orekhovo,Нижнее Орехово,6 084 686,nizhnee_orekhovo,City,nizhnee_orekhovo
6 297 482,6 297 482,R,153,Russia,Россия,Denezhnikovo,Денежниково,178 289,denezhnikovo,City,denezhnikovo
6 297 488,6 297 488,R,153,Russia,Россия,Kupchinino,Купчинино,178 289,kupchinino,City,kupchinino
6 297 501,6 297 501,R,153,Russia,Россия,Golikovo,Голиково,178 289,golikovo,City,golikovo
6 297 511,6 297 511,R,153,Russia,Россия,Trusovo,Трусово,178 289,trusovo_moscow,City,moscow_oblast_trusovo
6 297 551,6 297 551,R,153,Russia,Россия,Oktyabrskiy,Октябрьский,178 289,oktyabrskiy_moscow,City,moscow_oblast_oktyabrskiy
6 297 624,6 297 624,R,153,Russia,Россия,Laryovo,Ларёво,178 289,laryovo,City,laryovo
6 299 308,6 299 308,R,153,Russia,Россия,Lyskovo,Лысково,1 361,lyskovo_nizhny_novgorod_oblast,City,volga_region_lyskovo
6 299 850,6 299 850,R,153,Russia,Россия,Chulkovo,Чулково,178 289,chulkovo,City,chulkovo
6 300 239,6 300 239,R,153,Russia,Россия,Novaya Tura,Новая Тура,6 288 539,novaya_tura,City,novaya_tura
6 301 419,6 301 419,R,153,Russia,Россия,Kungurka,Кунгурка,6 049 238,kungurka,City,kungurka
6 301 835,6 301 835,R,153,Russia,Россия,Sashino,Сашино,180 029,sashino,City,sashino
