75	['city', 'date_month', 'date_year']	0.108%	погода в хургаде в октябре 2015	6
76	['acm_gost', 'city', 'reviews']	0.108%	гостиница эврика йошкар-ола отзывы	3
77	['acm_gost', 'city', 'map']	0.106%	гостиница ока рязань на карте города	2
78	['city', 'map']	0.104%	ростоши 3 оренбург земельные участки на карте	3
79	['acm_hotel', 'country']	0.104%	отели цахкадзора армения	3
80	['acm_hostel', 'city', 'contacts_site']	0.099%	хостел звезда санкт-петербург официальный сайт	5
81	['acm_hostel', 'geo_oblast']	0.097%	хостелы санк петербуге саха якутия	5
82	['action2book', 'city']	0.097%	снять коттедж в витебске	5
83	['acm_apart']	0.095%	русские апартаменты в лианозово	5
84	['acm_hotel', 'city', 'poi_sea']	0.095%	отели лазаревское на берегу моря	5
85	['city', 'trip']	0.095%	поездка в иваново за текстилем из москвы	5
86	['acm_hotel', 'price']	0.094%	отели киева цены	3
87	['acm_hostel', 'price_cheap']	0.093%	жилье в киеве посуточно недорого хостел	4
88	['city', 'country']	0.092%	топхотелс египет шарм эль шейх	3
89	['city', 'price_cheap']	0.091%	мотели в москве недорого	8
90	['acm_gost', 'city_city']	0.089%	гостиницы г харькова	3
91	['acm_hotel', 'city', 'country']	0.089%	отели айя напа кипр 4звезды	3
92	['rest']	0.089%	отдых в египте	37
93	['acm_gost', 'map']	0.087%	гостиницы ростова-на-дону на карте города	10
94	['acm_hotel', 'space_near']	0.087%	отели египта рядом с сохо	14
95	['city', 'poi_metro']	0.085%	схема метро москвы	5
96	['city_en', 'resort_en']	0.084%	dessole pyramisa sharm el sheikh resort 5	6
97	['action_reach', 'city', 'poi_station', 'wh_how']	0.083%	как из домодедово добраться до ярославского вокзала	3
98	['poi_metro']	0.082%	храм христа спасителя метро	4
99	['city', 'date_year', 'price']	0.082%	цены в паттайе 2015 на еду и одежду	6
100	['city', 'rest']	0.080%	отдых на хуахин с детьми	4
101	['map']	0.080%	карта гостиницулан-удэ	2
102	['city', 'poi_station']	0.079%	хостолы в москве казанский вокзал	2
103	['acm_hostel', 'poi_metro_station']	0.079%	хостел на рижском вокзале	4
104	['city', 'price', 'transport_train']	0.078%	саратов-москва расписание поездов цена	3
105	['acm_gost', 'poi_metro']	0.078%	гостиницы на оранжевой ветке метро	4
106	['acm_hotel', 'city', 'stars_5']	0.076%	отель в грозном 5 звезд контакты	3
107	['acm_hotel', 'price_cheap']	0.074%	отели в ростове на дону недорогие	4
108	['acm_gost', 'acm_gost_popular']	0.073%	гостиница турист в киеве	3
109	['acm_ghouse', 'city', 'contacts_site']	0.072%	гостевой дом исаевский тверь официальный сайт	3
110	['city', 'date_year', 'reviews']	0.072%	сонеста фараон бич резорт хургада отзывы 2015	9
111	['city', 'date_year', 'photo', 'price']	0.071%	киа сид 2015 новый кузов комплектации и цены фото	54
112	['poi_metro_station_spb']	0.071%	лесной бункер солотча	4
113	['action_reach', 'poi_metro', 'wh_how']	0.070%	крокус экспо как добраться на метро	5
114	['stars_4']	0.070%	ramada plaza jumeirah beach residence 4*	2
115	['acm_gost', 'poi_metro', 'poi_metro_station']	0.070%	мини гостиница метро коломенская	4
116	['acm_hotel', 'amn_basin', 'city']	0.068%	отели ялты с бассейном с морской водой	4
117	['action_buy', 'city', 'tickets']	0.068%	купить билет на матч в москве	1
118	['acm_obj', 'contacts_site', 'geo_oblast']	0.067%	лукоморье база отдыха архангельск официальный сайт	25
119	['acm_hotel', 'contacts_site']	0.067%	отель 99 на патриарших прудах официальный сайт	4
120	['city', 'country', 'hot']	0.066%	тайланде паттайя или пхукет горящие туры	34
121	['tour']	0.065%	поиск туров по всем туроператорам	4
122	['acm_hotel_en', 'acm_hotel_popular_en']	0.065%	himeros beach hotel 4	7
123	['acm_gost', 'poi_metro_station_spb']	0.065%	спортивный комплекс олимпийская деревня 80 гостиница	3
124	['acm_hotel', 'reviews']	0.065%	отель на саперном отзывы	2
125	['acm_obj', 'city', 'contacts_site', 'date_year', 'price']	0.065%	санаторий светлана сочи официальный сайт цены на 2015 год	8
126	['city', 'geo_oblast', 'hot']	0.065%	горящие туры из иркутска в паттайю	11
127	['city', 'poi_street_popular']	0.064%	домодедово ул осенняя1	3
128	['acm_gost', 'city', 'poi_metro']	0.064%	гостиницы москвы метро новослобоская	4
129	['stars_3']	0.064%	Eastiny Place 3*	5
130	['city', 'city_city']	0.064%	гостицы в городе ярославль	2
131	['acm_gost', 'city', 'photo']	0.063%	гостиница фараон алматы фото	4
132	['acm_hotel', 'acm_hotel_popular']	0.062%	отель марриотт новый арбат	8
133	['city', 'tickets', 'transport_train']	0.060%	наличие билетов на поезд до москвы	2
134	['action_reach', 'poi_metro_station', 'wh_how']	0.059%	как от полянки доехать до красной площади	2
135	['arrangement', 'city', 'date_year', 'price']	0.059%	экскурсии в паттайе 2015 цены и описание	14
136	['city', 'photo']	0.059%	бон апарт одесса фото постояльцев	2
137	['acm_hotel', 'city', 'poi_metro_station']	0.059%	сити комфорт отель на арбатской	4
138	['acm_hotel', 'city', 'poi_street_popular']	0.058%	отель дмитров ул профессиональная д 23	4
139	['poi_metro', 'poi_metro_station']	0.058%	гастинца метро медведково	2
140	['acm_gost', 'acm_gost_popular', 'city']	0.057%	гостиница салют москва адрес	4
141	['acm_obj_part', 'city']	0.057%	номера на некрасова санкт-петербург	4
142	['action_buy', 'city']	0.057%	трансформер дженерейшнс оптимус прайм вояджер (transformers generations combiner wars voyager class optimus prime)купить в спб	3
143	['action2book']	0.056%	снять шале в красной поляне	2
144	['acm_hotel', 'stars_5']	0.056%	марсалам отели 5 звезд	5
145	['city', 'tickets']	0.056%	билеты в музей москвы оружейная палата	2
146	['acm_gost', 'acm_hotel', 'city']	0.056%	гостиница галерея гранд отель в москве	2
147	['acm_hotel', 'action2book']	0.055%	забронировать отель в мюнхене	5
148	['stars_5']	0.053%	al ghurair rayhaan by rotana 5*	3
149	['city', 'wh_how']	0.052%	как провести выходные в нижнем новгороде	5
150	['acm_hotel', 'action2book', 'city']	0.052%	снять отель в москве на ночь	2
151	['date_year']	0.052%	erebuni yerevan 2015	3
152	['acm_hostel', 'city', 'space_near']	0.052%	хостел в нижнем новгороде рядом с вокзалом	4
153	['acm_hotel', 'acm_hotel_popular', 'city']	0.051%	отель ритц карлтон москва адрес	3
154	['action_fly', 'city', 'how_many']	0.050%	сколько лететь до питера из москвы	5
155	['acm_hotels_popular']	0.050%	holiday inn на симоновском валу	3
156	['acm_gost', 'city', 'geo_oblast']	0.050%	гостиница саяны ярославское шоссе д 116 к 2 москва	4
157	['acm_gost', 'acm_obj_part', 'city']	0.050%	номер в гостинице на сутки москва	6
158	['acm_gost', 'city', 'geo_rayon']	0.050%	гостиницы воронеж левобережный район	2
159	['acm_gost', 'action2book', 'city']	0.049%	снять гостиницу в москве 1500	4
160	['acm_hotel', 'peninsula']	0.049%	лучшие отели крыма	6
161	['acm_hotel', 'city', 'stars_4']	0.049%	отели дубаи 3 и 4 звезды	2
162	['acm_hotels_popular', 'city']	0.049%	маринс парк отель сочи	6
163	['acm_hotel_en', 'reviews']	0.049%	sanya yuhuayuan seaview hotel 4 отзывы	2
164	['acm_gost', 'city', 'poi_metro_station_spb']	0.047%	гостиница в санкт петербурге на садовой 53	2
165	['acm_gost', 'city', 'poi_sea']	0.047%	гостиницы в сочи на берегу моря	7
166	['city', 'contacts_site', 'date_year', 'price']	0.046%	ялта круглый год официальный сайт цены на 2015 год	14
167	['action_visit', 'wh_where_direction']	0.046%	куда сходить на арбате	3
168	['city', 'poi_park']	0.045%	парк глобы днепропетровск	4
169	['poi_centre']	0.045%	2 км от центра	2
170	['city', 'poi_metro_station_spb']	0.045%	московская застава кострома	5
171	['acm_hotel_popular_en', 'resort_en']	0.044%	the residence resort spa retreat	12
172	['acm_hotel', 'city', 'geo_uts']	0.044%	пик отель красная поляна	7
173	['city', 'contacts_site', 'poi_centre']	0.044%	перинатальный центр симферополь официальный сайт	5
174	['acm_gost', 'city', 'price', 'price_cheap']	0.044%	недорогие гостиницы москвы цены за сутки	6
175	['acm_gost', 'poi_street_popular']	0.044%	гостиница мострансагентство улица 1905 года	2
176	['city', 'country', 'tour']	0.043%	путёвки в египет в хургаду все вклюено атель принц палас	1
177	['acm_hotel', 'city', 'geo_oblast']	0.043%	мариотте отель москва тверская	7
178	['acm_gost', 'reviews']	0.043%	гостиница кантри хаус п.новинки нижний нрвгород отзывы	2
179	['action_reach', 'city', 'poi_metro', 'wh_how']	0.043%	нескучный сад в москве как доехать на метро	8
180	['acm_hostel', 'price']	0.042%	хостел в киеве цены	2
181	['acm_hotel', 'city', 'lang_rus', 'map']	0.042%	карта паттайи с расположением отелей на русском языке	11
182	['acm_hotel', 'city', 'photo']	0.041%	отель мираж хургада фото	2
183	['city', 'geo_oblast']	0.041%	мотель кировские дачи выборг	2
184	['acm_gost', 'poi_metro_station', 'space_near']	0.041%	гостиница рядом с рио дмитровское шоссе	3
185	['wh_how']	0.041%	как дойти до арбата	1
186	['acm_minihotel', 'city', 'contacts_site']	0.040%	мини отель глория санкт-петербург официальный сайт	4
187	['acm_gost', 'city', 'poi_metro_station', 'space_near']	0.040%	гостиницы москвы рядом с павелецким вокзалом	3
188	['acm_hotel', 'amn_beach', 'city']	0.040%	лучшие отели анапы с собственным пляжем	3
189	['city', 'wh_where']	0.040%	хургада или шарм эль шейх где лучше	6
190	['acm_hostel', 'city', 'poi_street_popular']	0.039%	хостел у дедушки ленина тюмень	3
191	['city', 'resort_en']	0.039%	sunny resort пхукет	3
192	['acm_hotel', 'poi_avenue']	0.039%	отель геральда на невском	3
193	['acm_hostel', 'city', 'poi_metro_station']	0.039%	типо хостел проспект мира д 105 москва	2
194	['acm_hotel', 'amn_spa', 'city']	0.038%	самые лучшие спа отели в казани	2
195	['acm_hotel', 'amn_spa']	0.038%	мистраль отель и спа	4
196	['acm_gost', 'city', 'poi_station']	0.038%	львовский железнодорожный вокзал гостиница	2
197	['acm_hotel', 'acm_obj_part', 'city']	0.038%	отель в санкт петербурге с сауной в номере	2
198	['acm_obj', 'geo_oblast']	0.038%	михайловское база отдыха ульяновск	8
199	['acm_obj', 'contacts_site']	0.038%	санаторий бобачевская роща официальный сайт	7
200	['contacts_site', 'geo_oblast']	0.037%	рэдиссон блю челябинск официальный сайт	13
201	['acm_hotel', 'city', 'stars_3']	0.037%	отели нячанга на 2 и 3 линии 3 звезды	2
202	['city', 'space_near']	0.037%	мотели  воронежа рядом с заправкой	1
203	['acm_gost', 'geo_oblast', 'price_cheap']	0.036%	самые дешевые гостиницы в курске	3
204	['poi_park']	0.036%	галерея парк	3
205	['acm_gost', 'contacts_site', 'geo_oblast']	0.036%	гостиница центральная курск официальный сайт	3
206	['city', 'poi_metro', 'poi_metro_station']	0.035%	ночлег в москве м. тушинская.	2
207	['photo']	0.035%	фото террасы высоко на семь ступеней	1
208	['poi_park_en']	0.035%	titanic beach spa aqua park 5	5
209	['city', 'time_season', 'wh_where_direction']	0.035%	куда пойти с ребенком 4 лет в москве	7
210	['acm_gost', 'geo_oblast', 'price']	0.035%	гостиницы архангельска цена за сутки	5
211	['action_reach', 'city', 'poi_metro_station', 'poi_station', 'wh_how']	0.035%	как доехать от жд вокзала до аэропорта в екатеринбурге	3
212	['acm_gost', 'acm_obj_part', 'city', 'price']	0.035%	гостиницы во владимире цены на 2 местный номер	6
213	['date_month']	0.035%	температура в египте в декабре	2
214	['acm_hostel', 'city', 'price']	0.035%	хостелы владивостока с ценами и описанием	3
215	['acm_gost', 'geo_rayon']	0.034%	гостиницы в районе площади преображенской	2
216	['city', 'geo_oblast', 'transport_train']	0.034%	расписание поездов хабаровск-москва	1
217	['acm_hostel', 'city', 'reviews']	0.034%	хостел пилау санкт-петербург отзывы	2
218	['acm_hotel', 'poi_metro_station_spb']	0.034%	heliopark лесной, отель	2
219	['city', 'geo_oblast', 'price', 'tickets', 'transport_train']	0.034%	расписание поездов курск-москва из курска цены на билеты	3
220	['acm_obj_part']	0.034%	одноместные номера в	2
221	['acm_hotel', 'city', 'price_expensive']	0.034%	самый дорогой отель иномер в витебске	4
222	['acm_gost', 'city', 'poi_centre']	0.034%	гостиница новотель москва центр	3
223	['acm_gost', 'acm_hotel']	0.033%	гостиницы и отели киева	1
224	['acm_hotel', 'city', 'date_year']	0.033%	частные отели в пицунде 2015	3
225	['acm_gost_popular']	0.033%	октого ру	3
226	['acm_gost', 'action2book']	0.032%	забронировать гостиницу в мурман	2
227	['acm_hotel_popular_en', 'city_en', 'resort_en']	0.032%	coral beach resort hurghada 4	7
228	['acm_hotel', 'city', 'date_year', 'reviews']	0.032%	отель сонеста фараон бич резорт хургада отзывы 2015г	2
229	['acm_gost', 'geo_oblast', 'poi_metro_station_spb']	0.032%	гостиница в чехове московская область	3
230	['country', 'tour']	0.032%	просчитать тур в египет	2
231	['city', 'poi_avenue']	0.031%	freedom антикафе спб невский 88	2
232	['acm_gost', 'geo_oblast', 'space_near']	0.031%	гостиница рядом с ленинградским вокзалом	3
233	['acm_hotels_popular', 'city', 'contacts_site']	0.031%	парк-отель шереметьевский москва официальный сайт	7
234	['city', 'poi_metro_station', 'poi_station']	0.031%	из шереметьево до белорусского вокзала	1
235	['acm_gost', 'city', 'contacts_phone']	0.031%	гостиница в аше на стадионе металлург телефон	2
236	['acm_hotel', 'city', 'city_city']	0.030%	отели гданьска в старом городе	2
237	['resort_en', 'stars_5']	0.030%	Dana Beach Resort 5*	2
238	['city', 'wh_what']	0.030%	что посетмть в сочи в плохую погоду	3
239	['acm_hotel', 'city', 'poi_avenue']	0.030%	отель невский централь санкт-петербург	2
240	['acm_hotel', 'city', 'contacts_site', 'poi_avenue']	0.030%	отель невский 111 санкт-петербург официальный сайт	5
241	['action_stay', 'city', 'wh_where']	0.030%	где лучше остановиться в евпатории с ребенком	5
242	['acm_hostel', 'poi_metro']	0.030%	хостелы на зелёнонй ветки метро	3
243	['acm_hostel', 'acm_obj_part', 'city']	0.029%	номер в хостеле для троих в бресте белоруссия	5
244	['action_visit', 'city', 'wh_what']	0.029%	что посетить в казани за 2 дня	4
245	['acm_gost', 'peninsula']	0.029%	гостиница горизонт в крыму	2
246	['acm_gost', 'poi_centre']	0.029%	гостиница научного центра сердечно-сосудистой хирургии имбакулева ан рамн	3
247	['resort_en', 'stars_3']	0.029%	SUNSHINE PATONG (EX. SUNSHINE RESORT PHUKET) 3*	3
248	['acm_hostel', 'action2book', 'city']	0.029%	аренда жилья хостел москва	3
249	['acm_hotel_en', 'stars_4']	0.029%	acacia hotel 4*	1
250	['acm_ghouse', 'city', 'poi_street_popular']	0.029%	адлер  гостевые дома на ул. бестужева	2
251	['acm_gost_popular', 'acm_hotel', 'city']	0.029%	отели стамбула лалели эконом	4
252	['city', 'price', 'tour']	0.029%	путевка в хургаду на двоих цена	5
253	['acm_gost', 'city', 'poi_avenue']	0.028%	гостиницы на литейном проспекте в санкт-петербурге	1
254	['acm_hostel', 'space_near']	0.028%	хостелы рядом с ж/д вокзалом во владиаостоке	3
255	['poi_metro', 'wh_how']	0.028%	государственный кремлевский дворец как пройти от метро	5
256	['acm_apart_en', 'city']	0.028%	apartments street rose сочи	2
257	['acm_hotel', 'poi_metro']	0.028%	отель на метро ладожеская	2
258	['acm_hotel', 'city', 'poi_park']	0.028%	санкт-петербург отель крестовский парк	2
259	['acm_gost', 'city', 'poi_metro', 'poi_metro_station']	0.028%	гостиница восток москва петровско-разумовская метро	2
260	['acm_hotel', 'stars_4']	0.028%	отель turner 4* расоложение	1
261	['acm_hostel', 'city', 'poi_metro']	0.028%	хостел метро восстания санкт-петербург	2
262	['action_reach', 'city', 'poi_metro', 'poi_metro_station', 'wh_how']	0.027%	как добраться до крокус сити холл от метро мякинино	2
263	['acm_hotel', 'amn_basin']	0.027%	отели в гурзуфе с бассейном	2
264	['action_reach', 'city', 'poi_centre', 'poi_metro_station', 'wh_how']	0.027%	как доехать из аэропорта брюсселя в центр	2
265	['acm_gost', 'acm_hotel_popular']	0.027%	гостиница марриотт новый арбат 32	4
266	['stars_2']	0.027%	GARIMA OF MANDREM 2 *	4
267	['acm_hotel', 'date_year', 'holiday', 'peninsula', 'price_cheap']	0.027%	новый год в крыму 2016 отели с программой недорого	27
268	['acm_hotel', 'city', 'contacts_phone']	0.027%	отель олимпик подольск телефон	2
269	['acm_hotel_en', 'stars_3']	0.027%	pgs hotels bauman casa karon beach 3*	4
270	['acm_hostel', 'poi_street_popular']	0.027%	хостелы ростова-на-дону по ул б садовая5	1
271	['wh_where_direction']	0.027%	куда сьездить на выходных из чпб	2
