	Ленинский проспект 
	Лесная 
	Лиговский проспект 
	Ломоносовская 
	Маяковская 
	Международная 
	Московская 
	Московские ворота 
	Нарвская 
	Невский проспект 
	Новочеркасская 
	Обводный канал 
	Обухово 
	Озерки 
	Парк Победы 
	Парнас 
	Петроградская 
	Пионерская 
	Площадь Александра Невского
	Площадь Александра Невского-1 
	Площадь Александра Невского-2 
	Площадь Восстания 
	Площадь Ленина 
	Площадь Мужества 
	Политехническая 
	Приморская 
	Пролетарская 
	Проспект Большевиков 
	Проспект Ветеранов 
	Проспект Просвещения 
	Пушкинская 
	Рыбацкое 
	Садовая 
	Сенная площадь 
	Спасская 
	Спортивная 
	Старая Деревня 
	Технологический институт 
	Удельная 
	Улица Дыбенко 
	Фрунзенская 
	Чёрная речка 
	Чернышевская 
	Чкаловская 
	Электросила 
geo_oblast	область
	край
	Адыгея
	Алтай
	Башкортостан
	Бурятия
	Дагестан
	Ингушетия
	Кабардино-Балкария
	кабардино балкария
	Калмыкия
	Карачаево-Черкесия
	карачаево черкесия
	Карелия
	Коми
	Марий Эл
	Мордовия
	Саха (Якутия)
	Северная Осетия
	Алания
	Татарстан
	Тыва
	Удмуртия
	Хакасия
	Чечня
	Чувашия
	Алтайский
	Забайкальский
	Камчатский
	Краснодарский
	Красноярский
	Пермский
	Приморский
	Ставропольский
	Хабаровский
	Амурская
	Архангельская
	Астраханская
	Белгородская
	Брянская
	Владимирская
	Волгоградская
	Вологодская
	Воронежская
	Ивановская
	Иркутская
	Калининградская
	Калужская
	Кемеровская
	Кировская
	Костромская
	Курганская
	Курская
	Ленинградская
	Липецкая
	Магаданская
	Московская
	Мурманская
	Нижегородская
	Новгородская
	Новосибирская
	Омская
	Оренбургская
	Орловская
	Пензенская
	Псковская
	Ростовская
	Рязанская
	Самарская
	Саратовская
	Сахалинская
	Свердловская
	Смоленская
	Тамбовская
	Тверская
	Томская
	Тульская
	Тюменская
	Ульяновская
	Челябинская
	Ярославская
poi_metro_station	Авиамоторная 
	Автозаводская
	Академическая 
	Александровский сад
	Алексеевская
	алма атинская
	Алма-Атинская
	Алтуфьево 
	Аннино 
	Арбатская 
	Аэропорт 
	Бабушкинская 
	Багратионовская 
	Баррикадная 
	Бауманская 
	Беговая 
	Белорусская 
	Беляево 
	Бибирево 
	библиотека им. ленина
	Библиотека имени Ленина 
	Битцевский парк 
	Борисово 
	Боровицкая 
	Ботанический сад 
	Братиславская 
	Бульвар адмирала Ушакова 
	Бульвар Дмитрия Донского 
	Бульвар Рокоссовского
	Бунинская аллея
	Варшавская 
	ВДНХ
	Владыкино 
	Водный стадион 
	Войковская 
	Волгоградский проспект 
	Волжская 
	Волоколамская 
	Воробьёвы горы
	Выставочная
	Выхино
	Деловой центр 
	Динамо 
	Дмитровская 
	Добрынинская
	Домодедовская 
	Достоевская 
	Дубровка 
	Жулебино 
	Зябликово 
	Измайловская
	Калужская 
	Кантемировская 
	Каховская 
	Каширская 
	Киевская 
	китай город
	Китай-город
	Кожуховская 
	Коломенская 
	Комсомольская 
	Коньково 
	Котельники 
	Красногвардейская 
	Краснопресненская 
	Красносельская 
	Красные ворота
	Крестьянская застава 
	Кропоткинская
	Крылатское 
	Кузнецкий мост 
	Кузьминки 
	Кунцевская 
	Курская 
	Кутузовская 
	Ленинский проспект 
	Лермонтовский проспект 
	Лесопарковая 
	Лубянка
	Люблино 
	Марксистская 
