0	total	21.000%
58	['acm_hotel', 'acm_hotel_popular', 'action_perceive', u'full']	0.000%	отель калифорния слушать	1
59	['acm_hotel', 'city', u'full', 'rating']	0.000%	рейтинг отелей москвы	1
60	['acm_hotel', 'city', u'full', 'map', 'poi_centre']	0.000%	отели праги в центре на карте	1
61	['city', u'full', 'poi_centre']	0.000%	центр баку	1
62	['acm_hotel', 'acm_hotels_popular', 'city', u'full', 'map', 'poi_park']	0.000%	парк отель кисловодск на карте	1
63	['acm_gost', 'city', u'full', 'geo_oblast', 'poi_avenue', 'price_cheap']	0.000%	дешевые гостиницы в волжском волгоградской области	1
64	['acm_hotel', 'amn_basin', 'amn_spa', 'city', u'full']	0.000%	спа отель в петергофе с бассейном	1
65	['action_reach', u'full', 'poi_metro_station_spb', 'poi_station', 'wh_how']	0.000%	как добраться от обводного канала до ладожского вокзала	1
66	['acm_gost', 'city', u'full', 'poi_centre', 'price_cheap']	0.000%	гостиницы в центре москвы недорогие	1
67	['acm_gost', 'city', 'city_city', u'full', 'map', 'price_cheap']	0.000%	дешевые гостиницы нижнего новгорода на карте города	1
68	['city', u'full']	0.000%	сеул	1
69	['acm_obj_part', 'action2book', 'city', u'full', 'price_cheap']	0.000%	снять номер в москве недорого	1
70	['acm_gost', u'full', 'poi_metro_station']	0.000%	гостиница орехово	1
71	['acm_gost_popular', 'city', 'contacts_site', u'full']	0.000%	ялта интурист официальный сайт	1
72	['acm_hotel', 'city', 'city_city', u'full', 'poi_centre']	0.000%	отели новороссийска в центре города	1
73	['acm_gost', 'city', u'full', 'poi_centre']	0.000%	гостиницы в ярославле в центре	1
74	['city', u'full', 'map', 'poi_airport', 'poi_metro', 'poi_metro_station']	0.000%	карта москвы домодедово аэропорт метро	1
75	['acm_hotel', 'amn_basin', 'city', u'full']	0.000%	отели ессентуков с бассейном	1
76	['city', u'full', 'holiday']	0.000%	калининград на новый год	1
77	['acm_obj', 'city', u'full']	0.000%	пансионат магадан  анапа	1
78	['city', u'full', 'poi_centre', 'poi_tc']	0.000%	турин торговые центры	1
79	['acm_minigost', 'city', u'full']	0.000%	одесса минигостиницы	1
80	['acm_gost', 'amn_basin', 'city', 'city_city', u'full']	0.000%	гостиницы города астрахани с бассейном	1
81	['acm_gost', 'acm_hotel_popular', u'full', 'geo_oblast', 'poi_metro_station']	0.000%	гостиница марриотт тверская	1
82	['acm_gost', 'city', u'full', 'poi_station', 'space_near']	0.000%	гостиницы санкт-петербурга недалеко от московского вокзала	1
83	['acm_gost', 'city', 'city_city', u'full', 'map']	0.000%	гостиницы санкт-петербурга на карте города	2
84	['acm_hotel', 'city', u'full', 'price']	0.000%	отель в стамбуле цены	1
85	['acm_gost', u'full', 'poi_station']	0.000%	гостиница на московском вокзале	1
86	['action_visit', 'city', 'date_month', u'full', 'wh_where_direction']	0.000%	питер в ноябре куда сходить	1
87	['amn_restaurant', 'city', 'date_year', u'full', 'island', 'price']	0.000%	пхукет рестораны цены 2015	1
88	['acm_ghouse', 'city', u'full']	0.000%	гостевые дома в калининграде	1
89	['city', u'full', 'poi_airport', 'poi_station']	0.000%	домодедово ярославский вокзал	1
90	['acm_hotel', 'city', u'full', 'poi_airport']	0.000%	отель в домодедово	1
91	['acm_hotel', 'action2book', 'city', u'full', 'wh_how']	0.000%	как забронировать отель в дубае	1
92	['acm_hotel', 'city', u'full', 'price_cheap']	0.000%	недорогие отели москва	1
93	['acm_gost', u'full', 'poi_metro', 'poi_metro_station']	0.000%	гостиницы метро медведково	1
94	['acm_gost', 'acm_gost_popular', 'city', 'econom_class', u'full', 'price_cheap']	0.000%	гостиницы эконом класса в ессентуках	1
95	['acm_hotel', 'action2book', 'agregator_ostrovok', u'full']	0.000%	островок бронирование отелей	1
96	['acm_gost', 'city', u'full', 'poi_airport', 'poi_metro_station']	0.000%	гостиница в борисполе в аэропорту	1
97	['acm_gost', 'city', 'contacts_site', u'full', 'price']	0.000%	гостиница октябрьская санкт-петербург официальный сайт стоимость	1
98	['acm_hotel', 'acm_hotel_popular', 'acm_hotels_grand', 'city', u'full']	0.000%	марриотт гранд отель москва	1
99	['acm_hotel', 'city', 'country', u'full', 'stars_3']	0.000%	отели 3* таиланд паттайя	1
100	['acm_gost', 'city', u'full', 'poi_metro_station']	0.000%	гостиница свиблово москва	1
