66	['acm_gost', 'geo_oblast', 'price']	0.092%	гостиницы липецка цены	6
67	['city']	0.092%	шармаль шейх	29
68	['acm_hostel', 'city', 'poi_centre']	0.091%	санкт-петербург хостелы в центре	13
69	['acm_gost', 'city', 'poi_metro_station', 'space_near']	0.090%	гостиница рядом с аэропортом шереметьево	3
70	['acm_hostel', 'city', 'poi_centre', 'price_cheap']	0.090%	хостелы в санкт-петербурге недорого в центре	30
71	['acm_gost', 'city', 'poi_centre', 'price_cheap']	0.089%	гостиницы казани недорого в центре	13
72	['arrangement', 'city', 'date_year', 'price']	0.089%	паттайя экскурсии цены 2015	14
73	['acm_gost', 'city', 'contacts_site', 'date_year', 'price']	0.088%	гостиницы ялты официальный сайт цены на 2015 год	16
74	['acm_gost', 'city', 'poi_metro']	0.088%	гостиницы москвы по станциям метро	38
75	['acm_hotel', 'amn_all_inclusive', 'city', 'location_line', 'price', 'stars_5']	0.086%	хургада отели 5 звезд все включено 1 линия цены	72
76	['acm_hotel', 'action2book', 'agregator_ostrovok']	0.086%	островок бронирование отелей	48
77	['acm_hotel', 'amn_all_inclusive', 'city', 'location_line', 'price', 'stars_4']	0.086%	хургада отели 4 звезды 1 линия все включено цены	72
78	['acm_hotel', 'city', 'city_city', 'poi_centre']	0.084%	отели в стамбуле в центре города	9
79	['acm_hotel', 'city', 'poi_metro_station_spb']	0.084%	отели на невском проспекте санкт-петербург	8
80	['acm_hostel', 'geo_oblast', 'price_cheap']	0.084%	хостел в иркутске дешево	11
81	['city', 'date_year', 'reviews']	0.081%	пхукет отзывы туристов 2015	29
82	['city', 'tour']	0.079%	туры на самуи	10
83	['acm_gost', 'city', 'rating']	0.079%	гостиницы нижнего новгорода список	19
84	['acm_hostel', 'city', 'price', 'price_cheap']	0.078%	хостелы санкт-петербурга недорого цены	30
85	['acm_hotel', 'acm_hotel_popular', 'city', 'contacts_site']	0.077%	отель классик санкт-петербург официальный сайт	14
86	['acm_gost_popular', 'city', 'contacts_site']	0.077%	ялта интурист официальный сайт	64
87	['amn_all_inclusive', 'city', 'country', 'date_month', 'date_year', 'price', 'tour']	0.074%	путевки в египет на ноябрь 2015 цены все включено шарм эль шейх	22
88	['acm_obj', 'city']	0.074%	репино пансионат	4
